Station, Gender, Stream, SiteURL
Rebel,Rock,https://netradio.live24.gr/rebel1052,https://www.rebelfm.gr/
Rock Fm, Rock, https://az10.yesstreaming.net/radio/8060/radio.mp3, https://www.atticaradios.gr/rockfm969/
Trito, Classical, http://radiostreaming.ert.gr/ert-trito, https://www.ertecho.gr/radio/trito/
STAR FM Rock Ballads, Rock, https://stream.starfm.de/ballads/mp3-128/, 
Zeppelin 106.7, Rock, https://radiostreaming.ert.gr/ert-zeppelin, https://www.ertecho.gr/radio/zeppelin/
STAR FM Rock Ballads Berlin Germany, Rock, https://stream.starfm.de/ballads/mp3-192/stream.starfm.de/,https://stream.starfm.de/
River Country, Rock and Country, https://18703.live.streamtheworld.com/CKYLFM.mp3, https://www.rivercountry.fm/
Classic 107, Classical, https://goldenwest.leanstream.co/CKCLFM-MP3, https://goldenweststreaming.com/ckcl/console/
Calm Radio - Celtic, Celtic, https://streams.calmradio.com/api/161/128/stream, https://calmradio.com/
Big 105.9, Rock, https://stream.revma.ihrhls.com/zc557, https://big1059.iheart.com/
